DDI-DrugBank.d481.s0|82-86|EMCYT|brand
DDI-DrugBank.d781.s5|55-59|ACEON|brand
DDI-DrugBank.d781.s5|85-89|serum|group
DDI-DrugBank.d781.s5|91-99|potassium|drug
DDI-DrugBank.d781.s5|138-148|aldosterone|drug
DDI-DrugBank.d781.s6|25-33|diuretics|group
DDI-DrugBank.d781.s6|36-49|spironolactone|drug
DDI-DrugBank.d781.s6|52-60|amiloride|drug
DDI-DrugBank.d781.s6|63-73|triamterene|drug
DDI-DrugBank.d781.s6|88-96|potassium|drug
DDI-DrugBank.d781.s6|98-108|supplements|group
DDI-DrugBank.d781.s6|147-151|serum|group
DDI-DrugBank.d781.s6|153-161|potassium|drug
DDI-DrugBank.d781.s6|164-175|indomethacin|drug
DDI-DrugBank.d781.s6|178-184|heparin|drug
DDI-DrugBank.d781.s6|187-198|cyclosporine|drug
DDI-DrugBank.d781.s7|111-115|serum|group
DDI-DrugBank.d781.s7|117-125|potassium|drug
DDI-DrugBank.d781.s8|0-6|Lithium|brand
DDI-DrugBank.d781.s8|19-23|serum|group
DDI-DrugBank.d781.s8|25-31|lithium|brand
DDI-DrugBank.d781.s8|49-55|lithium|brand
DDI-DrugBank.d781.s8|119-125|lithium|brand
DDI-DrugBank.d781.s8|131-133|ACE|brand
DDI-DrugBank.d781.s9|77-81|serum|group
DDI-DrugBank.d781.s9|83-89|lithium|brand
DDI-DrugBank.d781.s10|51-57|lithium|brand
DDI-DrugBank.d781.s11|0-6|Digoxin|drug
DDI-DrugBank.d781.s11|9-9|A|brand
DDI-DrugBank.d781.s11|74-80|digoxin|drug
DDI-DrugBank.d781.s11|122-126|ACEON|brand
DDI-DrugBank.d781.s11|157-163|digoxin|drug
DDI-DrugBank.d781.s12|0-9|Gentamicin|drug
DDI-DrugBank.d781.s12|78-88|perindopril|drug
DDI-DrugBank.d781.s12|94-103|gentamicin|drug
DDI-DrugBank.d781.s15|0-3|Food|group
DDI-DrugBank.d781.s15|41-45|ACEON|brand
DDI-DrugBank.d781.s15|63-66|food|group
DDI-DrugBank.d781.s15|119-129|perindopril|drug
DDI-DrugBank.d781.s16|44-54|perindopril|drug
DDI-DrugBank.d781.s16|82-94|perindoprilat|drug
DDI-DrugBank.d781.s16|166-168|ACE|brand
DDI-DrugBank.d781.s17|20-30|perindopril|drug
DDI-DrugBank.d313.s0|0-0|A|brand
DDI-DrugBank.d313.s0|30-36|glucose|group
DDI-DrugBank.d313.s0|65-71|insulin|group
DDI-DrugBank.d313.s1|157-159|ACE|brand
DDI-DrugBank.d313.s1|173-184|disopyramide|drug
DDI-DrugBank.d313.s1|197-206|fluoxetine|drug
DDI-DrugBank.d313.s1|209-217|monoamine|drug
DDI-DrugBank.d313.s1|228-230|MAO|brand
DDI-DrugBank.d313.s1|245-256|propoxyphene|brand
DDI-DrugBank.d313.s1|259-269|salicylates|group
DDI-DrugBank.d313.s1|272-283|somatostatin|drug
DDI-DrugBank.d313.s1|299-308|octreotide|drug
DDI-DrugBank.d313.s2|92-106|corticosteroids|group
DDI-DrugBank.d313.s2|109-114|niacin|drug
DDI-DrugBank.d313.s2|117-123|danazol|drug
DDI-DrugBank.d313.s2|126-134|diuretics|group
DDI-DrugBank.d313.s2|167-177|epinephrine|drug
DDI-DrugBank.d313.s2|180-189|salbutamol|drug
DDI-DrugBank.d313.s2|192-202|terbutaline|drug
DDI-DrugBank.d313.s2|206-214|isoniazid|drug
DDI-DrugBank.d313.s2|217-229|phenothiazine|drug
DDI-DrugBank.d313.s2|256-262|thyroid|brand
DDI-DrugBank.d313.s2|264-271|hormones|group
DDI-DrugBank.d313.s2|274-282|estrogens|group
DDI-DrugBank.d313.s3|15-23|clonidine|drug
DDI-DrugBank.d313.s3|26-32|lithium|brand
DDI-DrugBank.d313.s3|45-51|alcohol|brand
DDI-DrugBank.d313.s3|122-128|insulin|group
DDI-DrugBank.d313.s4|0-10|Pentamidine|drug
DDI-DrugBank.d313.s5|92-100|clonidine|drug
DDI-DrugBank.d313.s5|103-114|guanethidine|drug
DDI-DrugBank.d313.s5|121-129|reserpine|drug
DDI-DrugBank.d313.s7|0-0|A|brand
DDI-DrugBank.d313.s7|76-82|NovoLog|brand
DDI-DrugBank.d313.s7|89-91|NPH|brand
DDI-DrugBank.d313.s7|99-105|insulin|group
DDI-DrugBank.d313.s7|191-197|NovoLog|brand
DDI-DrugBank.d313.s7|259-265|NovoLog|brand
DDI-DrugBank.d313.s8|3-9|NovoLog|brand
DDI-DrugBank.d313.s8|25-27|NPH|brand
DDI-DrugBank.d313.s8|35-41|insulin|group
DDI-DrugBank.d313.s8|44-50|NovoLog|brand
DDI-DrugBank.d313.s10|50-56|NovoLog|brand
DDI-DrugBank.d313.s10|74-77|zinc|drug
DDI-DrugBank.d313.s10|79-85|insulin|group
DDI-DrugBank.d313.s10|101-107|NovoLog|brand
DDI-DrugBank.d313.s11|22-28|NovoLog|brand
DDI-DrugBank.d313.s11|64-70|insulin|group
DDI-DrugBank.d313.s13|54-60|insulin|group
DDI-DrugBank.d313.s13|63-69|NovoLog|brand
DDI-DrugBank.d313.s13|118-124|diluent|brand
DDI-DrugBank.d96.s0|0-13|Dimenhydrinate|drug
DDI-DrugBank.d96.s0|47-57|apomorphine|drug
DDI-DrugBank.d600.s0|0-10|Methyprylon|drug
DDI-DrugBank.d600.s1|18-24|alcohol|brand
DDI-DrugBank.d600.s1|36-38|CNS|brand
DDI-DrugBank.d600.s1|84-86|CNS|brand
DDI-DrugBank.d600.s1|110-120|methyprylon|drug
DDI-DrugBank.d98.s0|25-25|D|brand
DDI-DrugBank.d98.s0|46-47|D2|brand
DDI-DrugBank.d98.s0|58-59|D3|brand
DDI-DrugBank.d98.s0|62-71|Calcitriol|drug
DDI-DrugBank.d98.s0|90-103|Cholestyramine|drug
DDI-DrugBank.d98.s0|106-119|Cholestyramine|drug
DDI-DrugBank.d98.s0|174-176|fat|drug
DDI-DrugBank.d98.s0|186-193|vitamins|group
DDI-DrugBank.d98.s1|62-62|D|brand
DDI-DrugBank.d98.s2|49-57|phenytoin|drug
DDI-DrugBank.d98.s2|62-74|phenobarbital|drug
DDI-DrugBank.d98.s2|125-125|D|brand
DDI-DrugBank.d98.s3|6-10|blood|group
DDI-DrugBank.d98.s3|80-88|Rocaltrol|brand
DDI-DrugBank.d98.s4|0-8|Thiazides|group
DDI-DrugBank.d98.s4|11-19|Thiazides|group
DDI-DrugBank.d98.s4|75-81|calcium|drug
DDI-DrugBank.d98.s5|63-71|thiazides|group
DDI-DrugBank.d98.s5|86-86|D|brand
DDI-DrugBank.d98.s7|19-19|D|brand
DDI-DrugBank.d98.s7|52-55|care|brand
DDI-DrugBank.d98.s8|0-11|Ketoconazole|drug
DDI-DrugBank.d98.s8|14-25|Ketoconazole|drug
DDI-DrugBank.d98.s8|68-74|enzymes|group
DDI-DrugBank.d98.s8|87-87|D|brand
DDI-DrugBank.d98.s9|14-18|serum|group
DDI-DrugBank.d98.s9|39-39|D|brand
DDI-DrugBank.d98.s9|133-144|ketoconazole|drug
DDI-DrugBank.d98.s10|45-56|ketoconazole|drug
DDI-DrugBank.d98.s10|71-71|D|brand
DDI-DrugBank.d98.s11|0-14|Corticosteroids|group
DDI-DrugBank.d98.s11|17-17|A|brand
DDI-DrugBank.d98.s11|80-80|D|brand
DDI-DrugBank.d98.s11|107-113|calcium|drug
DDI-DrugBank.d98.s11|131-145|corticosteroids|group
DDI-DrugBank.d98.s11|162-168|calcium|drug
DDI-DrugBank.d98.s12|40-40|D|brand
DDI-DrugBank.d98.s12|64-72|phosphate|brand
DDI-DrugBank.d98.s12|200-204|serum|group
DDI-DrugBank.d98.s12|206-214|phosphate|brand
DDI-DrugBank.d98.s13|8-8|D|brand
DDI-DrugBank.d98.s13|54-54|D|brand
DDI-DrugBank.d98.s14|0-6|Calcium|drug
DDI-DrugBank.d98.s14|8-18|Supplements|group
DDI-DrugBank.d98.s15|0-8|Magnesium|drug
DDI-DrugBank.d98.s15|50-57|antacids|group
DDI-DrugBank.d98.s15|148-148|D|brand
DDI-DrugBank.d381.s0|0-8|ERGAMISOL|brand
DDI-DrugBank.d381.s0|12-21|levamisole|drug
DDI-DrugBank.d381.s0|124-130|alcohol|brand
DDI-DrugBank.d381.s1|53-61|phenytoin|drug
DDI-DrugBank.d381.s2|42-52|prothrombin|drug
DDI-DrugBank.d381.s2|70-80|therapeutic|brand
DDI-DrugBank.d381.s2|118-127|levamisole|drug
DDI-DrugBank.d381.s2|133-140|warfarin|drug
DDI-DrugBank.d381.s2|142-147|sodium|group
DDI-DrugBank.d381.s2|175-185|prothrombin|drug
DDI-DrugBank.d381.s2|232-239|warfarin|drug
DDI-DrugBank.d381.s2|241-246|sodium|group
DDI-DrugBank.d479.s0|28-37|isosorbide|drug
DDI-DrugBank.d479.s1|0-6|Alcohol|brand
DDI-DrugBank.d479.s2|66-72|calcium|drug
DDI-DrugBank.d479.s2|103-110|nitrates|group
DDI-DrugBank.d687.s0|18-25|valproic|brand
DDI-DrugBank.d687.s0|60-71|temozolomide|drug
DDI-DrugBank.d687.s2|82-88|TEMODAR|brand
DDI-MedLine.d84.s0|0-12|Antimicrobial|brand
DDI-MedLine.d84.s1|0-12|Antimicrobial|brand
DDI-MedLine.d84.s1|26-27|GL|brand
DDI-MedLine.d84.s1|93-94|FR|brand
DDI-MedLine.d84.s1|96-100|KARST|brand
DDI-MedLine.d84.s1|213-225|antimicrobial|brand
DDI-MedLine.d84.s1|287-289|MIC|brand
DDI-MedLine.d84.s2|46-58|antimicrobial|brand
DDI-MedLine.d84.s2|72-73|GL|brand
DDI-MedLine.d84.s2|123-125|MIC|brand
DDI-MedLine.d84.s3|30-42|antimicrobial|brand
DDI-MedLine.d84.s3|60-61|GL|brand
DDI-MedLine.d84.s3|95-104|ampicillin|drug
DDI-MedLine.d84.s3|107-115|cefazolin|drug
DDI-MedLine.d84.s3|118-132|oxytetracycline|drug
DDI-MedLine.d84.s3|138-152|chloramphenicol|drug
DDI-MedLine.d84.s3|203-206|FICI|brand
DDI-MedLine.d84.s4|4-16|antimicrobial|brand
DDI-MedLine.d84.s4|34-35|GL|brand
DDI-MedLine.d84.s5|28-29|GL|brand
DDI-MedLine.d84.s5|49-57|cefazolin|drug
DDI-DrugBank.d554.s0|8-17|antibiotic|brand
DDI-DrugBank.d554.s0|20-28|cisplatin|drug
DDI-DrugBank.d554.s0|31-42|cyclosporine|drug
DDI-DrugBank.d554.s0|55-63|foscarnet|drug
DDI-DrugBank.d554.s0|70-77|vaccines|group
DDI-DrugBank.d233.s0|9-19|Allopurinol|drug
DDI-DrugBank.d233.s0|66-77|azathioprine|drug
DDI-DrugBank.d233.s0|95-105|allopurinol|drug
DDI-DrugBank.d233.s1|19-30|azathioprine|drug
DDI-DrugBank.d233.s1|36-46|allopurinol|drug
DDI-DrugBank.d233.s1|94-105|azathioprine|drug
DDI-DrugBank.d233.s2|100-113|co-trimoxazole|drug
DDI-DrugBank.d233.s3|106-112|control|brand
DDI-DrugBank.d233.s3|142-153|azathioprine|drug
DDI-MedLine.d129.s0|0-4|Green|brand
DDI-MedLine.d129.s0|6-8|tea|brand
DDI-MedLine.d129.s0|10-20|polyphenols|group
DDI-MedLine.d129.s1|131-133|3Y1|brand
DDI-MedLine.d129.s5|13-16|hand|drug
DDI-MedLine.d129.s5|33-37|green|brand
DDI-MedLine.d129.s5|39-41|tea|brand
DDI-MedLine.d129.s5|109-109|A|brand
DDI-MedLine.d129.s6|132-142|therapeutic|brand
DDI-MedLine.d114.s0|39-46|inositol|drug
DDI-MedLine.d114.s1|30-31|RR|brand
DDI-MedLine.d114.s1|37-44|inositol|drug
DDI-MedLine.d114.s2|139-139|K|brand
DDI-MedLine.d114.s3|36-37|RR|brand
DDI-MedLine.d114.s4|50-51|RR|brand
DDI-MedLine.d114.s5|47-48|RR|brand
DDI-MedLine.d114.s6|57-58|RR|brand
DDI-MedLine.d114.s7|80-81|RR|brand
DDI-MedLine.d114.s7|137-144|proteins|group
DDI-MedLine.d114.s8|32-33|RR|brand
DDI-MedLine.d114.s8|82-88|examine|drug
DDI-DrugBank.d575.s0|95-105|tolbutamide|drug
DDI-DrugBank.d575.s0|108-113|sodium|group
DDI-DrugBank.d575.s0|130-143|sulfamethizole|drug
DDI-DrugBank.d575.s0|169-178|teniposide|drug
DDI-DrugBank.d575.s0|195-199|serum|group
DDI-DrugBank.d575.s1|41-50|teniposide|drug
DDI-DrugBank.d575.s1|62-69|proteins|group
DDI-DrugBank.d575.s2|51-55|VUMON|brand
DDI-DrugBank.d575.s2|58-67|teniposide|drug
DDI-DrugBank.d575.s3|46-55|teniposide|drug
DDI-DrugBank.d575.s3|82-93|methotrexate|drug
DDI-DrugBank.d575.s4|33-44|methotrexate|drug
DDI-DrugBank.d575.s5|39-50|methotrexate|drug
DDI-DrugBank.d575.s5|93-102|teniposide|drug
DDI-DrugBank.d568.s0|0-2|CNS|brand
DDI-DrugBank.d568.s0|30-32|CNS|brand
DDI-DrugBank.d568.s0|45-56|escitalopram|drug
DDI-DrugBank.d568.s1|0-6|Alcohol|brand
DDI-DrugBank.d568.s1|19-25|LEXAPRO|brand
DDI-DrugBank.d568.s1|81-87|alcohol|brand
DDI-DrugBank.d568.s1|161-167|alcohol|brand
DDI-DrugBank.d568.s1|188-194|LEXAPRO|brand
DDI-DrugBank.d568.s2|0-8|Monoamine|drug
DDI-DrugBank.d568.s3|46-52|Aspirin|brand
DDI-DrugBank.d568.s3|55-62|Warfarin|drug
DDI-DrugBank.d568.s4|0-8|Serotonin|drug
DDI-DrugBank.d568.s4|10-16|release|brand
DDI-DrugBank.d568.s5|154-162|serotonin|drug
DDI-DrugBank.d568.s5|269-273|NSAID|brand
DDI-DrugBank.d568.s5|278-284|aspirin|brand
DDI-DrugBank.d568.s6|81-87|LEXAPRO|brand
DDI-DrugBank.d568.s7|0-9|Cimetidine|drug
DDI-DrugBank.d568.s7|71-80|citalopram|drug
DDI-DrugBank.d568.s7|121-130|cimetidine|drug
DDI-DrugBank.d568.s7|170-179|citalopram|drug
DDI-DrugBank.d568.s7|181-183|AUC|brand
DDI-DrugBank.d568.s9|0-6|Digoxin|drug
DDI-DrugBank.d568.s9|68-77|citalopram|drug
DDI-DrugBank.d568.s9|107-116|citalopram|drug
DDI-DrugBank.d568.s9|122-128|digoxin|drug
DDI-DrugBank.d568.s9|212-221|citalopram|drug
DDI-DrugBank.d568.s9|226-232|digoxin|drug
DDI-DrugBank.d568.s10|0-6|Lithium|brand
DDI-DrugBank.d568.s10|38-47|citalopram|drug
DDI-DrugBank.d568.s10|77-83|lithium|brand
DDI-DrugBank.d568.s10|163-172|citalopram|drug
DDI-DrugBank.d568.s10|177-183|lithium|brand
DDI-DrugBank.d568.s11|21-27|lithium|brand
DDI-DrugBank.d568.s11|91-97|lithium|brand
DDI-DrugBank.d568.s12|8-14|lithium|brand
DDI-DrugBank.d568.s12|56-67|escitalopram|drug
DDI-DrugBank.d568.s12|103-109|LEXAPRO|brand
DDI-DrugBank.d568.s12|115-121|lithium|brand
DDI-DrugBank.d568.s13|0-7|Pimozide|drug
DDI-DrugBank.d568.s13|13-18|Celexa|brand
DDI-DrugBank.d568.s13|62-69|pimozide|drug
DDI-DrugBank.d568.s13|105-114|citalopram|drug
DDI-DrugBank.d568.s13|238-245|pimozide|drug
DDI-DrugBank.d568.s14|8-17|citalopram|drug
DDI-DrugBank.d568.s14|42-44|AUC|brand
DDI-DrugBank.d568.s14|57-64|pimozide|drug
DDI-DrugBank.d568.s16|0-10|Sumatriptan|drug
DDI-DrugBank.d568.s16|159-167|serotonin|drug
DDI-DrugBank.d568.s16|189-192|SSRI|brand
DDI-DrugBank.d568.s16|199-209|sumatriptan|drug
DDI-DrugBank.d568.s17|30-40|sumatriptan|drug
DDI-DrugBank.d568.s17|49-52|SSRI|brand
DDI-DrugBank.d568.s17|61-70|fluoxetine|drug
DDI-DrugBank.d568.s17|73-83|fluvoxamine|drug
DDI-DrugBank.d568.s17|86-95|paroxetine|drug
DDI-DrugBank.d568.s17|98-107|sertraline|drug
DDI-DrugBank.d568.s17|110-119|citalopram|drug
DDI-DrugBank.d568.s17|122-133|escitalopram|drug
DDI-DrugBank.d568.s18|0-11|Theophylline|drug
DDI-DrugBank.d568.s18|50-59|citalopram|drug
DDI-DrugBank.d568.s18|93-98|CYP1A2|brand
DDI-DrugBank.d568.s18|110-121|theophylline|drug
DDI-DrugBank.d568.s18|186-197|theophylline|drug
DDI-DrugBank.d568.s19|14-25|theophylline|drug
DDI-DrugBank.d568.s19|54-63|citalopram|drug
DDI-DrugBank.d568.s20|0-7|Warfarin|drug
DDI-DrugBank.d568.s20|47-56|citalopram|drug
DDI-DrugBank.d568.s20|109-116|warfarin|drug
DDI-DrugBank.d568.s20|121-126|CYP3A4|brand
DDI-DrugBank.d568.s21|0-10|Prothrombin|drug
DDI-DrugBank.d568.s22|0-12|Carbamazepine|drug
DDI-DrugBank.d568.s22|51-60|citalopram|drug
DDI-DrugBank.d568.s22|90-102|carbamazepine|drug
DDI-DrugBank.d568.s22|194-206|carbamazepine|drug
DDI-DrugBank.d568.s22|211-216|CYP3A4|brand
DDI-DrugBank.d568.s23|16-25|citalopram|drug
DDI-DrugBank.d568.s23|98-110|carbamazepine|drug
DDI-DrugBank.d568.s23|134-146|carbamazepine|drug
DDI-DrugBank.d568.s23|180-191|escitalopram|drug
DDI-DrugBank.d568.s24|0-8|Triazolam|drug
DDI-DrugBank.d568.s24|47-56|citalopram|drug
DDI-DrugBank.d568.s24|102-107|CYP3A4|brand
DDI-DrugBank.d568.s24|119-127|triazolam|drug
DDI-DrugBank.d568.s24|214-223|citalopram|drug
DDI-DrugBank.d568.s24|228-236|triazolam|drug
DDI-DrugBank.d568.s25|0-11|Ketoconazole|drug
DDI-DrugBank.d568.s25|50-59|citalopram|drug
DDI-DrugBank.d568.s25|73-84|ketoconazole|drug
DDI-DrugBank.d568.s25|118-120|AUC|brand
DDI-DrugBank.d568.s25|125-136|ketoconazole|drug
DDI-DrugBank.d568.s25|225-234|citalopram|drug
DDI-DrugBank.d568.s26|0-8|Ritonavir|drug
DDI-DrugBank.d568.s26|56-64|ritonavir|drug
DDI-DrugBank.d568.s26|83-88|CYP3A4|brand
DDI-DrugBank.d568.s26|126-131|CYP3A4|brand
DDI-DrugBank.d568.s26|138-149|escitalopram|drug
DDI-DrugBank.d568.s26|205-213|ritonavir|drug
DDI-DrugBank.d568.s26|218-229|escitalopram|drug
DDI-DrugBank.d568.s27|0-5|CYP3A4|brand
DDI-DrugBank.d568.s27|11-15|-2C19|brand
DDI-DrugBank.d568.s27|62-67|CYP3A4|brand
DDI-DrugBank.d568.s27|73-77|-2C19|brand
DDI-DrugBank.d568.s27|95-101|enzymes|group
DDI-DrugBank.d568.s27|133-144|escitalopram|drug
DDI-DrugBank.d568.s28|29-40|escitalopram|drug
DDI-DrugBank.d568.s28|54-62|ritonavir|drug
DDI-DrugBank.d568.s28|96-101|CYP3A4|brand
DDI-DrugBank.d568.s28|157-168|escitalopram|drug
DDI-DrugBank.d568.s29|8-19|escitalopram|drug
DDI-DrugBank.d568.s29|123-134|escitalopram|drug
DDI-DrugBank.d568.s30|32-38|P4502D6|brand
DDI-DrugBank.d568.s30|98-109|escitalopram|drug
DDI-DrugBank.d568.s30|114-119|CYP2D6|brand
DDI-DrugBank.d568.s31|44-53|citalopram|drug
DDI-DrugBank.d568.s31|123-128|CYP2D6|brand
DDI-DrugBank.d568.s31|181-190|citalopram|drug
DDI-DrugBank.d568.s31|232-243|escitalopram|drug
DDI-DrugBank.d568.s31|270-275|CYP2D6|brand
DDI-DrugBank.d568.s31|332-343|escitalopram|drug
DDI-DrugBank.d568.s32|60-65|CYP2D6|brand
DDI-DrugBank.d568.s32|89-100|escitalopram|drug
DDI-DrugBank.d568.s32|129-140|escitalopram|drug
DDI-DrugBank.d568.s32|200-210|desipramine|drug
DDI-DrugBank.d568.s32|252-257|CYP2D6|brand
DDI-DrugBank.d568.s32|318-320|AUC|brand
DDI-DrugBank.d568.s32|325-335|desipramine|drug
DDI-DrugBank.d568.s34|62-73|escitalopram|drug
DDI-DrugBank.d568.s34|100-105|CYP2D6|brand
DDI-DrugBank.d568.s35|0-9|Metoprolol|drug
DDI-DrugBank.d568.s35|41-47|LEXAPRO|brand
DDI-DrugBank.d568.s35|138-140|AUC|brand
DDI-DrugBank.d568.s35|173-182|metoprolol|drug
DDI-DrugBank.d568.s36|10-19|metoprolol|drug
DDI-DrugBank.d568.s37|20-26|LEXAPRO|brand
DDI-DrugBank.d568.s37|32-41|metoprolol|drug
DDI-DrugBank.d568.s37|84-88|blood|group
DDI-DrugBank.d568.s38|27-29|ECT|brand
DDI-DrugBank.d568.s38|87-89|ECT|brand
DDI-DrugBank.d568.s38|95-106|escitalopram|drug
DDI-DrugBank.d568.s39|40-49|Citalopram|drug
DDI-DrugBank.d568.s39|51-60|Citalopram|drug
DDI-DrugBank.d568.s39|70-81|escitalopram|drug
DDI-DrugBank.d568.s39|115-124|citalopram|drug
DDI-DrugBank.d568.s39|127-132|Celexa|brand
DDI-DrugBank.d372.s0|0-7|Cytadren|brand
DDI-DrugBank.d372.s0|39-51|dexamethasone|drug
DDI-DrugBank.d372.s1|52-65|hydrocortisone|drug
DDI-DrugBank.d372.s2|0-16|Aminoglutethimide|drug
DDI-DrugBank.d372.s2|43-50|coumarin|drug
DDI-DrugBank.d372.s2|56-63|warfarin|drug
DDI-MedLine.d213.s0|8-12|CYP3A|brand
DDI-MedLine.d213.s1|33-44|cyclosporine|drug
DDI-MedLine.d213.s1|50-59|tacrolimus|drug
DDI-MedLine.d213.s1|64-68|CYP3A|brand
DDI-MedLine.d213.s2|98-106|midazolam|drug
DDI-MedLine.d213.s2|272-276|CYP3A|brand
DDI-MedLine.d213.s3|27-35|midazolam|drug
DDI-MedLine.d213.s3|91-91|P|brand
DDI-MedLine.d213.s3|146-146|P|brand
DDI-MedLine.d213.s4|21-29|midazolam|drug
DDI-MedLine.d213.s4|195-201|regimen|brand
DDI-MedLine.d213.s5|49-53|CYP3A|brand
DDI-MedLine.d213.s5|112-123|cyclosporine|drug
DDI-MedLine.d213.s5|149-158|tacrolimus|drug
DDI-MedLine.d213.s5|228-239|cyclosporine|drug
DDI-MedLine.d213.s5|284-288|CYP3A|brand
DDI-MedLine.d6.s0|27-34|etodolac|drug
DDI-MedLine.d6.s1|24-31|etodolac|drug
DDI-MedLine.d6.s2|0-7|Etodolac|drug
DDI-MedLine.d6.s4|0-7|Etodolac|drug
DDI-MedLine.d6.s5|106-113|etodolac|drug
DDI-MedLine.d6.s6|6-13|etodolac|drug
DDI-MedLine.d6.s7|21-24|date|drug
DDI-MedLine.d6.s7|163-170|etodolac|drug
DDI-MedLine.d6.s8|11-18|etodolac|drug
DDI-DrugBank.d501.s1|17-25|EXTRANEAL|brand
DDI-DrugBank.d501.s1|55-58|P450|drug
DDI-DrugBank.d501.s2|23-31|solutions|group
DDI-DrugBank.d501.s2|34-38|blood|group
DDI-DrugBank.d501.s4|26-35|glycosides|group
DDI-DrugBank.d501.s4|38-44|digoxin|drug
DDI-DrugBank.d501.s4|76-82|calcium|drug
DDI-DrugBank.d501.s4|85-93|potassium|drug
DDI-DrugBank.d501.s4|99-107|magnesium|drug
DDI-DrugBank.d501.s5|0-6|Insulin|group
DDI-DrugBank.d501.s5|9-9|A|brand
DDI-DrugBank.d501.s5|93-101|EXTRANEAL|brand
DDI-DrugBank.d501.s5|106-112|insulin|group
DDI-DrugBank.d501.s5|158-164|insulin|group
DDI-DrugBank.d501.s5|179-185|control|brand
DDI-DrugBank.d501.s5|187-191|blood|group
DDI-DrugBank.d501.s5|193-199|glucose|group
DDI-DrugBank.d501.s5|206-212|insulin|group
DDI-DrugBank.d501.s5|254-262|EXTRANEAL|brand
DDI-DrugBank.d501.s6|35-39|blood|group
DDI-DrugBank.d501.s6|41-47|glucose|group
DDI-DrugBank.d501.s6|85-93|EXTRANEAL|brand
DDI-DrugBank.d501.s6|120-126|insulin|group
DDI-DrugBank.d501.s7|0-6|Heparin|drug
DDI-DrugBank.d501.s7|48-54|heparin|drug
DDI-DrugBank.d501.s8|64-70|heparin|drug
DDI-DrugBank.d501.s8|77-85|EXTRANEAL|brand
DDI-DrugBank.d501.s10|66-68|MIC|brand
DDI-DrugBank.d501.s10|74-83|vancomycin|drug
DDI-DrugBank.d501.s10|86-94|cefazolin|drug
DDI-DrugBank.d501.s10|97-106|ampicillin|drug
DDI-DrugBank.d501.s10|135-145|ceftazidime|drug
DDI-DrugBank.d501.s10|148-157|gentamicin|drug
DDI-DrugBank.d501.s10|247-255|EXTRANEAL|brand
DDI-DrugBank.d501.s11|34-38|Blood|group
DDI-DrugBank.d501.s11|40-46|Glucose|group
DDI-DrugBank.d501.s11|48-52|Blood|group
DDI-DrugBank.d501.s11|54-60|glucose|group
DDI-DrugBank.d501.s11|121-127|prevent|brand
DDI-DrugBank.d501.s11|129-135|maltose|drug
DDI-DrugBank.d501.s12|23-29|glucose|group
DDI-DrugBank.d501.s12|62-66|blood|group
DDI-DrugBank.d501.s12|68-74|glucose|group
DDI-DrugBank.d501.s12|120-126|glucose|group
DDI-DrugBank.d501.s12|167-169|GDH|brand
DDI-DrugBank.d501.s12|171-173|PQQ|drug
DDI-DrugBank.d501.s12|191-193|GDH|brand
DDI-DrugBank.d501.s12|243-249|glucose|group
DDI-DrugBank.d501.s12|283-291|EXTRANEAL|brand
DDI-DrugBank.d501.s13|0-4|Serum|group
DDI-DrugBank.d501.s13|6-12|Amylase|drug
DDI-DrugBank.d501.s13|38-42|serum|group
DDI-DrugBank.d501.s13|44-50|amylase|drug
DDI-DrugBank.d501.s13|104-112|EXTRANEAL|brand
DDI-DrugBank.d501.s14|41-50|icodextrin|drug
DDI-DrugBank.d501.s14|103-109|amylase|drug
DDI-DrugBank.d501.s15|50-54|serum|group
DDI-DrugBank.d501.s15|56-62|amylase|drug
DDI-DrugBank.d501.s15|133-141|EXTRANEAL|brand
DDI-DrugBank.d394.s0|26-31|sodium|group
DDI-DrugBank.d394.s0|33-45|nitroprusside|drug
DDI-DrugBank.d394.s0|178-188|anesthetics|group
DDI-MedLine.d208.s0|0-7|Implanon|brand
DDI-MedLine.d208.s1|32-39|Implanon|brand
DDI-MedLine.d208.s3|138-145|Implanon|brand
DDI-DrugBank.d216.s0|17-23|Ethanol|drug
DDI-DrugBank.d216.s0|105-115|eszopiclone|drug
DDI-DrugBank.d216.s0|121-127|ethanol|drug
DDI-DrugBank.d216.s0|163-169|ethanol|drug
DDI-DrugBank.d216.s1|0-9|Paroxetine|drug
DDI-DrugBank.d216.s1|48-58|eszopiclone|drug
DDI-DrugBank.d216.s1|69-78|paroxetine|drug
DDI-DrugBank.d216.s2|0-8|Lorazepam|drug
DDI-DrugBank.d216.s2|47-57|eszopiclone|drug
DDI-DrugBank.d216.s2|68-76|lorazepam|drug
DDI-DrugBank.d216.s3|0-9|Olanzapine|drug
DDI-DrugBank.d216.s3|32-42|eszopiclone|drug
DDI-DrugBank.d216.s3|53-62|olanzapine|drug
DDI-DrugBank.d216.s3|93-96|DSST|brand
DDI-DrugBank.d216.s6|19-24|CYP3A4|brand
DDI-DrugBank.d216.s6|27-38|Ketoconazole|drug
DDI-DrugBank.d216.s6|41-46|CYP3A4|brand
DDI-DrugBank.d216.s6|53-57|major|brand
DDI-DrugBank.d216.s6|96-106|eszopiclone|drug
DDI-DrugBank.d216.s7|4-6|AUC|brand
DDI-DrugBank.d216.s7|11-21|eszopiclone|drug
DDI-DrugBank.d216.s7|69-80|ketoconazole|drug
DDI-DrugBank.d216.s7|105-110|CYP3A4|brand
